Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
6737,9,304,0.029605263157894735
6740,9,300,0.03
6757,9,300,0.03
6759,9,299,0.030100334448160536
6760,9,297,0.030303030303030304
6772,9,299,0.030100334448160536
6802,9,291,0.030927835051546393
6807,9,289,0.031141868512110725
6819,9,332,0.02710843373493976
6848,9,286,0.03146853146853147
6851,9,289,0.031141868512110725
6859,9,300,0.03
6864,9,303,0.0297029702970297
6876,9,319,0.02821316614420063
6885,9,334,0.02694610778443114
6887,9,328,0.027439024390243903
6896,9,308,0.02922077922077922
6908,9,315,0.02857142857142857
6913,9,292,0.030821917808219176
6919,9,294,0.030612244897959183
6922,9,291,0.030927835051546393
6930,9,294,0.030612244897959183
6942,9,300,0.03
6943,9,299,0.030100334448160536
6968,9,314,0.028662420382165606
6981,9,274,0.032846715328467155
6982,9,276,0.03260869565217391
6995,9,281,0.03202846975088968
7001,9,282,0.031914893617021274
7004,9,275,0.03272727272727273
7012,9,296,0.030405405405405407
7019,9,303,0.0297029702970297
7026,9,308,0.02922077922077922
7031,9,334,0.02694610778443114
7072,9,332,0.02710843373493976
7084,9,324,0.027777777777777776
7095,9,361,0.024930747922437674
7124,9,296,0.030405405405405407
7132,9,300,0.03
7138,9,294,0.030612244897959183
7139,9,295,0.030508474576271188
7140,9,293,0.030716723549488054
7145,9,304,0.029605263157894735
7146,9,306,0.029411764705882353
7156,9,315,0.02857142857142857
7176,9,336,0.026785714285714284
7179,9,325,0.027692307692307693
7189,9,312,0.028846153846153848
7196,9,320,0.028125
7250,9,300,0.03
7254,9,300,0.03
7255,9,302,0.029801324503311258
7256,9,302,0.029801324503311258
7267,9,306,0.029411764705882353
7283,9,312,0.028846153846153848
7296,9,296,0.030405405405405407
7349,9,303,0.0297029702970297
7369,9,296,0.030405405405405407
7372,9,296,0.030405405405405407
7378,9,307,0.029315960912052116
7379,9,309,0.02912621359223301
7380,9,308,0.02922077922077922
7387,9,314,0.028662420382165606
7392,9,322,0.027950310559006212
7394,9,319,0.02821316614420063
7440,9,341,0.026392961876832845
7446,9,335,0.026865671641791045
7451,9,338,0.026627218934911243
7455,9,334,0.02694610778443114
7490,9,272,0.03308823529411765
7498,9,257,0.03501945525291829
7508,9,270,0.03333333333333333
7510,9,269,0.03345724907063197
7518,9,270,0.03333333333333333
7519,9,267,0.033707865168539325
7526,9,243,0.037037037037037035
7528,9,248,0.036290322580645164
7531,9,246,0.036585365853658534
7559,9,289,0.031141868512110725
7562,9,286,0.03146853146853147
7571,9,268,0.033582089552238806
7583,9,307,0.029315960912052116
7587,9,306,0.029411764705882353
7605,9,312,0.028846153846153848
7609,9,310,0.02903225806451613
7619,9,320,0.028125
7624,9,328,0.027439024390243903
7628,9,323,0.02786377708978328
7655,9,296,0.030405405405405407
7657,9,298,0.030201342281879196
7670,9,297,0.030303030303030304
7678,9,296,0.030405405405405407
7681,9,298,0.030201342281879196
7687,9,274,0.032846715328467155
7700,9,270,0.03333333333333333
7713,9,246,0.036585365853658534
7718,9,252,0.03571428571428571
7728,9,265,0.033962264150943396
7729,9,263,0.034220532319391636
7744,9,230,0.0391304347826087
7747,9,233,0.03862660944206009
7753,9,227,0.039647577092511016
7763,9,231,0.03896103896103896
7773,9,210,0.04285714285714286
7783,9,218,0.04128440366972477
7787,9,216,0.041666666666666664
7793,9,218,0.04128440366972477
7794,9,220,0.04090909090909091
7819,9,244,0.036885245901639344
7822,9,234,0.038461538461538464
7823,9,235,0.03829787234042553
7833,9,227,0.039647577092511016
7834,9,232,0.03879310344827586
7845,9,206,0.043689320388349516
7848,9,206,0.043689320388349516
7852,9,201,0.04477611940298507
7856,9,189,0.047619047619047616
7860,9,162,0.05555555555555555
7870,9,186,0.04838709677419355
7875,9,185,0.04864864864864865
7883,9,176,0.05113636363636364
7891,9,174,0.05172413793103448
7896,9,180,0.05
7919,9,179,0.05027932960893855
7931,9,180,0.05
7934,9,176,0.05113636363636364
